Bob Dylan,Beatrice Stone
Mary Atkinson Maurice,Priscilla Hurry
Helga Michie,Berta Aichinger
Jane Ellen Panton,Isabella Jane Baker
Nigel Randall Evans,Pauline Breach
Beatrix Lucia Catherine Tollemache,Lady Charlotte Elizabeth Loftus
William Prideaux Courtney,Sarah Mortimer
Martí Sales i Sariola,Eulàlia Sariola
John Dryden,Elizabeth Howard
Carl Keilhau,Anna Mathilde Østvold
Beaver Henry Blacker,Catherine Miller
Rachel Baker Gale,Emily Frances Bowles
Theodosia Trollope,Theodosia Abrams
Raúl Vaz Ferreira,Elvira Raimondi
Chen Yujiao,Yan Shi
Iván Duque,Juliana Márquez Tono
Arthur William Crawley Boevey,Elizabeth Daubeny
Anne Dick,Elizabeth Mackenzie
James Woodrow,Marion Woodrow
Bianca Montale,Luisa Guglielmini
David Oswald Hunter Blair,Elizabeth Wauchope
Eli Sødal Rokstad,Liv Rokstad
Gabriel Maura i Montaner,Margarita Montaner Llampayes
Peter Burke,Mary O'Reilly
Tom Stobart,Athole Olive Aileen Bowden
Janet Colquhoun,Sarah Maitland
John Edmund Reade,Catherine Hill
John Pierce Brace,Susan Pierce Brace
Louise Swanton-Belloc,Marguerite Louise Joséphine Chassériau
Blanche Warre-Cornish,Augusta Trimmer
Henry Montague Grover,Sibylla Ehret
John William Bone,Mary Cromblehome
Isaure de Saint-Pierre,Jacqueline de Chavagnac
Elizabeth Page,Elizabeth Merwin Roe Page
David Rose,Susan Latham
William Mansfield Poole,Agnes Fanny Greenham
Carlo A-Valle,Maria Caterina Cavalli
Gilbert Burnet,Mary Scott
Harriet Loyd Lindsay,Harriet Wright
Anne Elwood,Mary Barrett
Hugh Seymour Tremenheere,Frances Apperley
Milly Bergh,Julie Ihlen
Park Yeon-mi,Byeon Keum-sook
Edward O'Brien,Charlotte Smith
Raleigh Trevelyan,Margaret Thornton
William Heygate,Anna Mackmurdo
Alexandra Orr,Augusta Susan Nash
William Daunt,Jane Wilson
Jane Strachey,Henrietta, Lady Grant
Anne Shippen,Alice Lee Shippen
William Boscawen,Anne Trevor
Aubrey De Vere,Eleanor Pery
William Synge,Anne Follett
Humphry Sandwith,Jane Ward
Anna Chamber,Mary Berkeley
Edward Goulburn,Susannah Chetwynd
Dorothy Dury,Catherine Drury
Elizabeth Shirley,Jane Lovett
Albinia Wherry,Maria Adelaide Hobart
Sarah Laurie Borthwick Findlater,Sarah Finlay
Anne Stanhope,Katherine Weld-Forester
Wilfred Joseph Cripps,Mary Anne Harrison
Theresa Lewis,Theresa Villiers
Kathleen Lyttelton,Ann Farquhar
Anne Day-Helveg,Jenny Popper
George Alexander Thompson,Catherine Maria Powney
Henry George Willink,Catharine Harriet Nicholls
Henry Thornton Wharton,Catherine Mary Croft
Edward Heneage Dering,Maria Price
E. Armine Wodehouse,Eleanor Deane
Gerald Chan Sieg,Anne Chan
Francis Blake Crofton,Melisina Woodward
William Fergusson Irvine,Elizabeth Hickson
William Steuart Trench,Mary Weldon
George Somes Layard,Sarah Somes
Margaret Child-Villiers,Caroline Grosvenor
Frances King,Amelia Offley
Theodosia Blachford,Lady Mary Bligh
Samuel Roberts,Mary Sykes
Richard Musgrave,Susanna Ussher
Robert Bateman Paul,Frances Bateman
Richard Hoblyn,Mary Ann Blatch
Thomas Newenham,Sarah Elizabeth Dawson
Johns Heye Harrington,Anna Alexander Johns
Sir Frederick Henniker, 2nd Baronet,Mary Press
Michael Josef von der Borch,Anna Bohomolec
Ethel Sara Stoney,Sarah Crawford
Liz Lefroy,Sarah Ursula Blacking
Catherine Grey, Lady Manners,Eliz Ruddock
Ethel Mary Wood,Alice Hogg
Bianca Stone,Abigail Stone
Eugen Guglia,Maria Guglia
Anne King,Joan Freeman
Maria Riddell,Frances Payne
Jane St John,Elizabeth Edwards
Ernst zur Lippe-Weissenfeld,Augusta, Gräfin von Hohenthal
Sylvia Leith-Ross,Sylvia Howland Grinnell
Josep Maria Vilaseca i Marcet,Anna Marcet Ballber
Jeremy Norman,Muriel Johnson
Conrad Russell,Laura Russell
Marian Calhoun Légaré Reeves,Annie Dorsey Read Reeves
Hugh Wyndham, 4th Baron Leconfield,Constance Wyndham, Baroness Leconfield
Dorothy Middleton,Anne Gertrude Smith
Maria Susanna Cooper,Anna Maria Paston
Angéline Lenoir,Laure Rey
Richard Jodrell,Vertue Hase
John Talbot Dillon,Mary Wingfield
Sarah Savage,Katherine Henry
Laura Moore,Sally Higginson
Donna Zuckerberg,Karen Kempner
Ola Rosling,Agneta Rosling
Margaret Agnew Blennerhassett,Catherine Blennerhassett
Angus Hamilton,Myra Emily Wood Moore
Amedeo Natoli,Nicole Perez Natoli
Elizabeth Washington Gamble Wirt,Catharine Grattan Gamble
François Armand Édouard Lefebvre de Béhaine,Louise Aimée Masson
Joan de Haes,Cornelia Brandt
Leoš Šimánek,Ludmila Šimánková
Frédérick Casadesus,Micheline Ramette
Catherine Durning Whetham,Lawrencina Potter
Clementine Hambro,Charlotte Soames
Marie Vareille,Hélène Vareille
Vincent Roudaut,Marie-Anne Bernard
Nikos Karabelas,Amalia Strakantouna
Charles Henry Eden,Frances Warburton
Alice Jane Muskett,Phoebe Muskett
Caroline Sturgis Tappan,Elizabeth Marston Davis
Sarah Ellen Blackwell,Hannah Blackwell
Gerard Noel,Alice Eyre
Overton Johnson,Rhoda O'Neall
Mark Watson-Gandy,Barbara Jadwiga Therese Madry
Hong Pu,Wu Xiuyan
H. F. Saint,Rachel Freeman
Paul von Kügelgen,Elisabeth Michaelsen
Sarah Kaminsky,Leïla Kaminsky
Julia Hobsbawm,Marlene Hobsbawm
Peter Beresford,Ida Kaye
Cecily Heron (née More),Jane More
Elizabeth Dauncey (née More),Jane More
Carolyn Hsu-Balcer,Cecilia Wang
Josceline Dimbleby,Barbara Jowett
Norman Hay Forbes,Honoria Matilda Marshall
Mořic Remeš,Marie Remešová
Sara Maria Saunders,Frances Davies
Elias Follin,Anna Christina Ekeroth
Mary Anne Emmet,Elizabeth Mason
Cecily Mackworth,Dorothy Conran Lascelles
Anna Elisabeth Christina van Tuyll van Serooskerken,Ursula Christine Reiniera van Reede
Lujza Szaák,Alojzia Kolossváry
Maria Hutchins Callcott,Elizabeth Mary Hutchins
Valerie Pakenham,Mary Cecilia Berry
John Gaspard Gubbins,Ellen Rolls
Louisa Susannah Cheves McCord,Mary Elizabeth Dulles Cheves
Alfred Guichon de Grandpont,Anne Claude Pathiot
Marie-Pierre de Cossé Brissac,May Schneider
Emelie Tracy Y. Swett Parkhurst,Mary Louisa Tracy
Ann Katharine Mitchell,Winifred Lilian Kenyon
Rose Maud Young,Grace Charlotte Savage
Hephzibah Dumville Bechly,Ann Johnson Dumville
Stephen Miller,Miriam Glosser Miller
Sophia, Lady Raffles,Sophia Hollamby
Jo March,Marmee March
Dora Kaprálová,Jarmila Kaprálová
Anne Pitt,Anne Pitt
Everard Feilding,Mary Berkeley
Clarence Winthrop Bowen,Lucy Maria Tappan
Mary Elizabeth Adams Brown,Martha Bradshaw Adams
Anna Cabot Lowell Quincy Waterston,Eliza Susan Morton Quincy
Cyril Roger-Lacan,Caroline Roger-Lacan
Dai Liang,Liu Jin
Nora Bielecka,Therese Bielecka
Imre Károlyi,Emma Susanne Katharine Julia Gräfin von Degenfeld-Schonburg
Jamie Blackett,Sarah Jennifer Withycombe
Mary Pakington,Evelyn Nina Frances Baker
Anna Cogswell Wood,Louisa Cogswell Wood
Frances Manwaring Caulkins,Frances "Fanny" Haven
John Arthur Bayley,Elizabeth Macdonald
Giuseppe Treves de Bonfili,Enrichetta Treves
Charles Todd,Caroline Todd
Álvaro Alcalá-Galiano y Osma,Ana de Osma y Zavala
Juliet Townsend,Sheila Berry
Mary Hutchinson,Winifred Strachey
Alexander Forbes,Edith Emerson Forbes
Régine Van Den Broek D'Obrenan,Zélie Schneider
Qi Yuanzuo,Zhang Shi
Fang Wanli,Gao shi
Johanna St John,Johanna Altham
Cao Zu,Wang Shi
Cui Yingying,Zheng Shi
Anne-Jeanne-Félicité Mérard de Saint-Just,Charlotte Chaumet d'Ormoy
Lv Meisun,Yan Shiyu
Rachael King,Ros Henry
Vittoria Colonna, Duchess of Sermoneta,Teresa Maria Carolina Caracciolo
Xiao Zi,He Shi
James Henry Skene,Jane Forbes
Theresa Whistler,Margaret Newbolt
Richard Plunket Greene,Gwendolen Parry
Pamela Wyndham,Madeline Campbell
Naomi Ishiguro,Lorna MacDougall
Hans de Groot-Canté,Willy van Amerongen
Isa Dick Hackett,Nancy Hackett
Giovanni Morassutti,Sabine Piwko
Harriet Jessie Edgeworth,Christina Macpherson
Sherman Foote Denton,Elizabeth M. Foote Denton
Georgiana Klingle Holmes,Gay Robertson Bernard Tiernan
Deborah Hutton,Rhodanthe Winnaretta Leeds
Mary Spear Nicolas Tiernan,Elizabeth Byrd Ambler Nicholas
Godfrey Phillimore, 2nd Baron Phillimore,Agnes Phillimore, Baron Phillimore
Bernice O. Redington,Nellie Meacham Redington
Leonard Montefiore,Emma Goldsmid
Bianca Stigter,Erica Stigter
Judith Love Cohen,Sarah Cohen
Joanna Milosz-Piekarska,Hanna Milosz-Williams
Richard Duncan Carey Garnett,Rachel Marshall
Alexandra Monir,Scheherazade Saleh
Elizabeth Waterhouse,Elizabeth Howard
Jane Stuart Woolsey,Jane Eliza Newton Woolsey
Abby Howland Woolsey,Jane Eliza Newton Woolsey
Liebegott Otto Conrad Schulz,Catharina Magdalena Schultz
Leopold Acland,Flora Margaret Watt
Christoph Woltereck,Anna Dorothea Röhr
Anson,Sarah Anne Potter
Julius Rittershaus,Hedwig Rittershaus
James William Barlow,Catherine Disney
Mary Bayard Devereux Clarke,Catherine Anne Johnson
Edwin Pallander,Frances Katherine Luby
Tom Chetwynd,Bridget Walsh
Alexander Eduard von Tiesenhausen,Julia von der Pahlen
Julius Leroy,Rosalia Coene
Anna Marie Chetwode,Elizabeth Chetwode
Désiré Claes,Anne Marie Vanderlinden
Karl Freiherr Pfeffel von Kriegelstein,Carolina, Freiin von Tettenborn
Pauline von Hügel,Elizabeth Farquharson
Diana de Vere Beauclerk,Elizabeth Catherine Gubbins
John Treat Irving Jr.,Abigail Spicer Furman
Gertraut Laurin,Margarete Rosegger
George Albemarle Bertie Dewar,Jane O'Beirne
Luisa Cappiani,Eva Apollonia Schacherl
Maria Celina Sauvayre da Câmara,Matilde Lúcia de Sant'Ana
Bessie Hatton,Louisa Johnson
Manuela Cernat,Anda Boldur
Teddy Millington Drake,Lady Effie Mackay
Elizabeth Paston,Agnes Paston
Elizabeth W. Allston Pringle,Adele Petigru Allston
Helen Howe,Fanny Huntington Quincy
Philip Ashton Rollins,Ellen Chapman Hobbs
Margaret Pender,Margaret Doherty
Louis Beyaert-Carlier,Marie Virginie Storie
Elizabeth Hervey,Maria Hamilton
Leopoldo Calvo Sotelo,Elisa Sotelo Lafuente
Edward Arthur Haggard,Ella Doveton
Mark De Wolfe Howe,Fanny Huntington Quincy
Alice Lucas,Emma Goldsmid
Lee Cohen Harby,Armida Harby Cohen
Phyllis Playter,Minnie Playter
Jean Boulnois,Louise Ehrer
Annie O'Meara de Vic Beamish,Ann S. Greenfield
Peter Jozef Scherpenseel,Anne Catherine Buijsers
Roger Windle Pilkington,Hope Cozens-Hardy
Rachel Worms de Romilly,Elisa Ratisbonne
Francis Walker Gilmer,Lucy Walker
Dorothy Enid Heathcote,Enid Muriel Langton
Gawin Rowan-Hamilton,Catherine Caldwell
Countess Galletti di Cadilhac,Isabella Rose Rose
Henry W. Hamilton,Anna Hamilton
Benjamin Bistline,Jenny Johnson
Celeste M. A. Winslow,Mary Richards Hall
Earl Terry Kemp,Nancy Kemp
Emily de Burgh Daly,Susan Emma Percy
Philippe Fauré-Frémiet,Marie Fauré
Mary Ann Hutton,Frances Drummond
Josephine Patterson Albright,Alice Higinbotham Patterson
St. John Brodrick,Alice Clayton
Paulina Czienskowski,Iris Czienskowski
Susan Christian,Emily Margaret Moore
Primerose Cep,Juliette Du Bos
Ivor Lucas,Sonia Finkelstein
Maria Fetherstonhaugh,Anne Wauchope
Mabel Washbourne Anderson,Susan Catherine Washbourne
George Inness Hartley,Helen Inness
Anne Wignall,Marjorie Pym
William Orlando Markham,Eliza Mary Packharness
Margarethe Girardi,Maria Johanna Girardi
Tania Kindersley,Margaret Wakefield
Tosh Berman,Shirley Berman
Templeton Crocker,Jennie Easton
Ingaret Giffard,Evelyn Alice Chambers
Gisèle de Monfreid,Armgart de Monfreid
Constance Albuera Saunderson,Maria Anne Saunderson
Max Porter,Lucy Millar
Sir William Chance, 2nd Baronet,Elizabeth Ferguson
Annabel Dilke,Alice Mary Best
Anna Blackwell,Hannah Blackwell
Elisabeth de Waal,Emmy Schey von Koromla
Katharine Merrill Graydon,Mary Merrill Graydon
Juan Almela Meliá,Amparo Meliá
John Delafield,Mary Roberts Delafield
Matilde Sauvayre da Câmara,Matilde Lúcia de Sant'Ana
John Hay,Barbara Chambers
Margaret Domville,Lady Emily de Burgh
Farquhar Edward Bury Palliser,Emily Price
Charles George Walpole,Annette Prevost
Alison Parsons, Countess of Rosse,Margaret Watson
Armando Tavera,Susana Tavera Vargas
Farrah Prudence,Lina Aziz
Sir Randal Roberts, 4th Baronet,Eliza Caroline Maitland
John Humphrey St. Aubyn,Martha Nicholls
Katharine Wylde,Barbara Maconchy
Gwendoline Keats,Lucy Elizabeth Thorold
Ewan Agnew,Georgette Agnew
Emily Webster Ellsworth,Rebecca Greenleaf Webster
Daniel Tapia Bolívar,Pilar Bolívar Pieltain
Ethel Sidgwick,Charlotte Sophia Wilson
James A. Wilder,Elizabeth Kinaʻu Judd
Rudolf Gwalther,Regula Gwalther-Zwingli
Elsie Masson,Mary Masson
Christopher Edward Lefroy,Anne Brydges
Debbie Bookchin,Beatrice Bookchin
William Francis Thomas Butler,Annie Barry
John Cave-Browne,Ann Raban
Jane Euphemia Saxby,Catherine Stewart
Mary Tucker Magill,Ann Evelina Tucker
Paul Rubinstein,Nela Rubinstein
João Franklin de Alencar Nogueira,Ana Franklin de Alencar Lima
Dorothea Petrie Townshend Carew,Petrie Wisdom
Marie René-Bazin,Aline Bricard
Ruth Mitchell-Quill,Maud Mitchell
Hastings Crossley,Elizabeth Helen Irwin
Charlotte Dease,Mary Grattan
Frances Campbell-Preston,Hilda Grenfell
Sir John Watson, 1st Bt.,Ann Hendry
Victoria Hamilton,Sheila de Hauteville Pearson
Harriet de Grey Vyner,Margaret Heathcote
Cholmeley Austen-Leigh,Emma Smith
Lady Mary Keen,Priscilla Weigall
Violet Hilda Drummond,Hilda Margaret Harris
Maria Julia Craven,Comtesse Elisabetta Maria Luigia Tadea Tadini
Ebenezer Baldwin,Rebecca Sherman Baldwin
Betty Askwith,Ellen Peel
Dudley Sydney Ashworth Cosby,Alice Sophia Elizabeth Pocock
Norah Noel,Mary Dease
Christabel Aberconway,Dora Sanderson
Granville Proby,Lady Margaret Hely-Hutchinson
William Beauchamp Nevill,Caroline (née Vanden-Bempde-Johnstone), Marchioness of Abergavenny
Ada Trevanion,Georgiana Leigh
Alice Foljambe,Susan Cavendish
Lady Augusta Noel,Susan Trotter, Countess of Albemarle
Hannah Chapman Gurney,Jane Chapman
Georgette Agnew,Caroline Whitaker
Aaron Cleveland,Susannah Porter
Monica Amari,Elisabetta Capua
Sir Edward Alan Christopher Percy Durand, 5th Baronet,Stella Evelyn Brigid L'Estrange
John Stansfeld of Dunninald,Mary Eardley-Wilmot
Lord Henry Taylour,Susan Vandervell
John Pratt Winter,Margaret Robbins
Alexandra Bingley,Mary Olivia Lenox-Conyngham
Simon Baynes,Shirley Maxwell Dodds
Andrea Seebohm,Audley Marian Brooke
Elizabeth Alicia Maria Herbert,Marianne Lempriere
George Canning,Letitia Newburgh
Sir George Croke,Elizabeth Unton
Dormer Creston,Amy Ruperta Colston
Lady Mary Leonora Woulfe Sheil,Frances Hamill
Russell Garnier,Lady Caroline Keppel
Henry Baldwin Hyde,Martha Leishman
Anne Garnier,Lady Caroline Keppel
Creighton Churchill,Mabel Harlakenden Hall Churchill
Alexander Bridport Becher,Frances Scott
William Neil McGarel Hogg,Elizabeth Brown
Alice Mary Frances Dease,Charlotte Jerningham
Florence Stacpoole,Charlotte Augusta Mountjoy
Edward Thomas Coke,Harriet Wright
Melosina Anne Lenox-Conyngham,Joanna Vernon Butler
Edward Wallis Hoare,Mary Elizabeth Gamble
Sir Brian Cameron-Ramsay-Fairfax-Lucy, 5th Baronet,Ada Christina Lucy
Emily Letitia Georgina Parnell,Delia Tudor Stewart Parnell
Dallah Margaret Barton,Fanny Roberta Isaacs
Eveline Charlotte Godley,Sarah James
Lancelot Bayly,Mary Anne Charlotte Barrington
Lucy Guinness,Emmelina Brown
Lady Rozelle Pierrepont,Marie-Louise Roosevelt Pierrepont
William Dunn,Isobel Thompson
Henry Murray,Lady Susan Hamilton
Mabel Henrietta Spielmann,Clara Yates
Elizabeth Patricia Ramsay,Margaret Cruikshank
Sir Gilbert Campbell, 3rd Baronet,Grace Elizabeth Bainbridge
John Alan Haughton,Sophia Ridgely Alricks
Annie Webb,Ella Young
Maude Annesley,Caroline Dixon
Lady Catherine Wallop,Eveline Herbert
Louisa McCartney Crawford,Anne Courtenay
Raymond Gorges,Mary Kelly
Constance Angelena Milman,Matilda Frances Pretyman
Edward Herbert Maxwell,Catharine Fordyce
Alice Mary Gordon,Louisa Marriott
Tristan Gooley,Hilary Eila Mallinson
John Dolben Mackworth,Alice Kate Cubitt
Ernest de Vismes Houssemayne du Boulay,Mary Yeatman
Sir George Fetherston, 6th Baronet,Sarah Alcock
Colin Campbell Garbett,Henrietta Garbett
Cecil Aspinall,Kate Williams
Harriet Muncaster,Catherine Margaret Holford
Louise Courtauld Haughton,Sophia Ridgely Alricks
Marella Caracciolo Chia,Giuditta Trenholme
Edward Tighe,Lady Mary Bligh
Charlotte Riddell,Lady Frances Marsham
Martin Archer Shee,Mary Power
Anne Disbrowe,Jane Macomb
Adolfo Mitre,Delfina María Luisa de Vedia
James William Gambier,Marcia Rowlands Money
Jane Frances Bickersteth,Lady Jane Harley
Lucy Wagner,Gillian Graham
Ivan Ivanovich Obolensky,Claire McGinnis
Fanny Huntington Quincy,Helen Frances Quincy
Robert John Beadon,Anne Oliver
Kenneth Langmaid,Louisa Mary Annie Gilles Langmaid
Beatrix de Candolle,Eleanor Jay
John Henry Tremenheere,Frances Apperley
Gustav Young,Eva Apollonia Schacherl
Emma Hedin,Anna Sofia Carolina Berlin
Gerda Hedin,Anna Sofia Carolina Berlin
Olga Miller,Ethel Reeves
Wilf Reeves,Ethel Reeves
Angela Terzani,Renate Moenckeberg
Henry Penington,Helena Lawrence Holmes Penington
Marijke Agterbosch,Nanda Kling
Cycill Geraldine Tomrley,Lina Collier
Svetozár Krno,Viera Krnová
France Brel,Thérèse Michielsen
Katie Halper,Nora Eisenberg
Annie Crowninshield Warren,Mary Boardman
Max Adler,Pauline Adler
Kathleen Sophia Hambrough Cheape,Julia Tutwiler Cheape
Ellen Mordecai,Margaret Lane
Nina Neumannová,Antonie Paterová
Francis Hathorn Davidge,William|Wilhelmina Hathorn Stewart
Lucia Gray Swett,Lucia Gray
Charles Ingersoll,Mary Wilcocks Ingersoll
Lida Bendemann,Henriette Schadow
Ethel Winifred Baker,Agnes Anne Baker
Lucy Hill,Annie Scott
Alexander Henry Higginson,Ida Higginson
George Sydney Keeling,Henrietta Frances Gedge
Sophia May Eckley,Sophia Tuckerman
Peter Hervé,Margaret Hervé
Margaret Cullen,Anna Johnstone
Zofia Kowalewska,Edyta Torhan
Federico Lobuono,Grazia Mazzone
Francesco Vallardi,Giuseppina Redaelli
Ingvar Christoffersson,Judith Christoffersson
Evžen Mirský,Regine Mirsky-Tauber
Kate Chambers Seelye,Cornelia Pond Williams
Samuel Mordecai,Judith Myers
Hamilton Twombly Burden,Margaret L. P. Burden
Luís Balkar Sá Peixoto Pinheiro,Maria do Céo de Mello Sá Peixoto
Kitty Kornitzer,Marie Adolfine Ekstein
Anna von Münchhausen-Frey,Emilie Helene Eckbrecht von Dürckheim-Montmartin
Silvia Del Pero,Antonie Del Pero
Charles Octavius Head,Isabella Biddulph
Mary Louise Conan Doyle,Louisa Hawkins
Xing Yuansheng,Tao Mo'an
Monika Auböck,Inge Auböck
Morgan Baker,Molly Griswold Flender
Shermay Lee,Pamela Chong
Greta Cronstedt,Ebba Maria Amalia Tamm
Costanza Afan de Rivera Costaguti,Giulia Afan
Aude Yung,Lotka Leitner
Blanca Dezasse,Eleonore, Freiin Hildprandt von und zu Ottenhausen
George Rose,Lou Beatrice Rose
Hannah Apthorp Bulfinch,Hannah Greenleaf Apthorp
Ulrika Palmstruch,Christina Johanna Lillienstedt
Charles B. Tiernan,Gay Robertson Bernard Tiernan
Antonie Reyer,Irene Reyer
Mary Channing Coleman,Evelyn Page Howlett
Afonso de Torres,Guiomar de Vilhena
Liesel Binzer,Hilde Michel
Annette Lucile Noble,Amelia Stiles Denio Noble
Veronika Dorman,Lilka Colosimo
Gilbert Raoul D'Oyley,Annie Alexis MacDonald
Sarah Becker,Sarah Cary Tuckerman
Ismael Aarón Viñas,Esther Porter
Greta Hartwig-Manschinger,Catharina Hartwig
Henry Neville Maugham,Edith Mary Snell
Julia Henderson Levering,Lorana Patchin Richmond
Mary Woolsey Howland,Jane Eliza Newton Woolsey
Dalma Heyn,Ethel Kenyon
Dorothea Seelye Franck,Kate Chambers Seelye
Javier Vasallo,María del Rosario Tomé y Alonso
Cristian Cerón,Mónica Guacaneme
Sara Andrew Shafer,Catharine Piatt Andrew
George Armistead Leakin,Margaret Dobbin
Charles S. Romanes,Eleanor Laing Davidson
John Cudworth,Damaris Cradock
Clara Newman Turner,Mary Dickinson Newman
Janet Frost,Elsie Frost
Dorothea Price Hughes,Katherine Hughes
James Manners Romanis,Eleanor Laing Davidson
Valentin Teirich,Irma Teirich-Suess
Lars Thirslund,Stella Kähler
Marianne Cabot Devereux Silsbee,Eliza Dodge Devereux
Martín Hary,Jovita Epp
Nell Rogers Michlin,Rosemary Rogers
Elizabeth Shields Fourton,Bessie Smallwood Shields
Francis Scott Key Smith,Alice Turner Key Smith
Paul B. Sturtevant,Elizabeth G. Sturtevant
Princess Victoria Romanov,Carla Bettarini
Samuel Charles Webster,Annie Moffett
Mary Mayo Crenshaw,Margaretta Ellen Wise Mayo
Patrick Scott,Augusta Maria Frederick
Elizabeth Paschal O'Connor,Marcia Pope DuVal Paschal
Margery Land May,Florence Lister Land May
Géraldine Cerf de Dudzeele,Anne-Marie Errembault de Dudzeele
Virginia Feinmann,Marta Zavattaro
Frank Wells,Catherine Wells
Salvatore Besso,Ernesta Besso
Walter Straus,Clara Straus
Mary Lecomte Du Noüy,Elizabeth Templeton Bishop
József, Graf Teleki de Szék,Janka Róth Királyfalvi
Samuel C. Clarke,Rebecca Parker Hull
Emile Florimond Herman Van Biervliet,Marie Van Biervliet
Johanna Sebauer,Vera Sebauer
Gerrit Pieter Roos,Maria Van Den Berghe
Linda Hale Bucklin,Marialice Patricia King
Honoratus Van Wezemael,Philippina Delphine Claus
Frances Clara Weale,Helena Amelia Walton
Samuel Storrow Higginson,Agnes Gordon Cochran Higginson
Beatrice Alsager Jourdan,Elizabeth Zorlin Jourdan
Michelle Bentley,Louise Jackson
Mary Stuart White Meier-Smith,Mary Abiah Dodge
Rebecca Oreskes,Susan Oreskes
Barbara Hazard,Alice Gardiner
Azra'ie Zakaria,Mariah binti Ahmad
Marian Woodbury,Grace Atkin Woodbury
Eduard Verraes,Maria Sy
Jozef Van Damme,Natalia Francisca Serruys
Jessica Tarlov,Judith Roberts
Catharine Lydia Hilliard Burnham,Catharine Dexter Haven Hilliard
Simon Mayer,Charlotte Wolff
Kira Soshinskaya,Klavdia Soshinskaya
Sándor Mándoky,Róza Bokor Bucuresty
Victor Van Coillie,Juliana De Clercq
Eva Lustigová,Věra Weislitzová-Lustigová
Ernest Arenberg,Jeanne-Marie Greffulhe
Erwin Rennert,Lea Rennert
Claudia Chidester,Virginia Fontaine
Robert Easton,Ethel Olney
Ethan Mann,Mindy Rickles
Ellen M. Violett,Ellen George McCarter
Luitgard Beun,Elodie De Beer
Danny G. Hill,Camille DeCicco
Camilla Jessel,Winifred May Levy
Tugdual de Dieuleveult,Diane de Torquat de La Coulerie
Elizabeth Gillespie,Deborah Franklin Bache
Jack Rudd,Julie Yaeger
Camiel-Hector Marichal,Sophia Amelia de Lodder
James Feldstein,Olivia Millar
Laura Calçada Barres,Carme Barres
Melvin Shepherd,Hannah Gibson
